buf,sl,rr,trades,win_rate,pf,pf_sd,exp_r,exp_r_sd,net,net_sd,worst_net,dd,pos_frac,ret_pct,risk
3.15,2.0,2.0,539.6666666666666,33.97553619402697,0.9144818964322026,0.06106430337543306,-0.041527400368165664,0.04240739376956522,-1245.5487536128064,972.337997030407,-2006.4223878319965,40.7284958882741,0.16666666666666666,-24.910975072256132,5.15
3.15,2.0,3.0,539.5,25.6407353196407,0.914226467540908,0.048924281947679546,-0.03591381606124958,0.03468435486194217,-1309.8538631270785,662.6938371640789,-2152.6986788753975,49.34524157800488,0.0,-26.197077262541573,5.15
3.15,4.0,1.0,540.0,52.224990503739185,0.9951681265635605,0.08665401617491628,0.0025119554570615173,0.046824870358323264,1.5859416664854205,1458.2367500384212,-944.7666875522441,36.829377502579156,0.3333333333333333,0.03171883332970893,7.15
3.15,4.0,1.5,538.8333333333334,42.466776402556654,1.0114612831639922,0.048973764807865285,0.01885077222202231,0.035075376932289466,268.1164542992813,969.5841027097715,-1129.6817408310699,34.14742839956391,0.6666666666666666,5.362329085985626,7.15
3.15,4.0,2.0,539.1666666666666,35.11651322773912,0.9934484701140556,0.026315949565032103,0.010272881697706173,0.01890527866408617,-121.80508762364416,494.2829265522346,-817.4242928350083,29.798908865021684,0.3333333333333333,-2.436101752472883,7.15
3.15,4.0,3.0,539.8333333333334,28.005853493010846,1.0653280893211015,0.057023064184153,0.07718183850441533,0.04689650836459259,1813.660949832575,1721.977343748541,-77.01261490344336,34.11844368359902,0.8333333333333334,36.2732189966515,7.15
3.15,6.0,1.0,539.1666666666666,53.90712222143292,1.072755433415715,0.05646459187769401,0.04517211609216224,0.029193202119707034,1173.4061057348097,914.9069035548807,-384.8613287697676,25.52478846170266,0.8333333333333334,23.46812211469619,9.15
3.15,6.0,1.5,537.8333333333334,42.515676875126935,1.027776882325642,0.05563193385112554,0.029057917543594613,0.03533689344493396,567.7975300211467,1018.0618080943433,-954.3874795467417,29.04847642072618,0.6666666666666666,11.355950600422934,9.15
3.15,6.0,2.0,536.3333333333334,36.573542964996385,1.0714339089967868,0.06377068709813614,0.0636330917532797,0.04082283061127312,1597.2194919164886,1484.6603300373365,141.4936292862959,26.481565199244915,1.0,31.944389838329766,9.15
3.15,6.0,3.0,535.5,28.97529513399367,1.1214072031421116,0.04463439711604796,0.12669314016305125,0.0384257806972002,3757.8908402754732,1640.1486139833132,1061.0728115621457,31.19483548200562,1.0,75.15781680550946,9.15
3.15,10.0,1.0,536.3333333333334,51.05787828120606,0.984455952908608,0.043907973785512755,-0.0016561225888062196,0.024584409741696053,-207.5393703451498,641.1275908235295,-1000.0998218436789,29.19404368450253,0.3333333333333333,-4.150787406902996,13.15
3.15,10.0,1.5,534.0,41.57294286043913,1.0056110048501907,0.023075110255389514,0.015526465741407945,0.015402244774222041,118.68678293334351,428.40822917744316,-405.13841258467505,34.3231695487938,0.5,2.3737356586668703,13.15
3.15,10.0,2.0,531.5,36.56300002428395,1.0764212205214265,0.02692456121266486,0.07409910333853645,0.018221844912592405,1835.7654174746015,706.2182595278035,1359.7635917202876,37.28731868105765,1.0,36.715308349492034,13.15
3.15,10.0,3.0,524.0,27.448864795754833,1.05952073680955,0.04736703127121756,0.07457942123886925,0.039480097271509966,1598.4975184267212,1278.9256348327335,-407.1813487325476,33.95406001036185,0.8333333333333334,31.969950368534423,13.15
3.15,15.0,1.0,528.3333333333334,52.42979416091615,1.037785078625048,0.02511562115277343,0.027605231218647722,0.013209800042886143,562.429105217062,386.53911686727434,-9.105130140241101,21.068300810363638,0.8333333333333334,11.24858210434124,18.15
3.15,15.0,1.5,517.8333333333334,45.70291347001728,1.1743767972263683,0.013771929696338548,0.12167293496842889,0.005966600822351511,3808.467212869895,283.60652884358825,3519.3162659780583,26.451535555300737,1.0,76.16934425739788,18.15
3.15,15.0,2.0,506.8333333333333,37.45586063361039,1.129611686900991,0.032528707085413305,0.10269340856502705,0.01958344001471272,2749.6874229830423,791.9544336431525,2137.992449848745,25.428228580989696,1.0,54.99374845966086,18.15
3.15,15.0,3.0,487.6666666666667,26.112447539202606,0.9933043966974981,0.025087093296526634,0.02060017406124594,0.020249745522732704,-117.79056795180178,496.1197356302449,-633.5626555862647,36.655392906549444,0.3333333333333333,-2.3558113590360357,18.15
5.0,1.0,1.0,528.3333333333334,52.2049114045768,0.9786064118158024,0.08737377379744302,-0.006620931346285463,0.047975538072699137,-247.4869687314107,1188.6620145879124,-1734.3503609240029,31.476752813201156,0.3333333333333333,-4.949739374628215,6.0
5.0,1.0,1.5,528.0,41.03894068464381,0.9447772243813403,0.06122232246718847,-0.02430172279049364,0.03824011979172013,-801.3496000577558,873.0109572330539,-1901.2386815474279,34.5711390924724,0.16666666666666666,-16.02699200115511,6.0
5.0,1.0,2.0,528.5,34.248041597017256,0.9397374714611925,0.06298526150388208,-0.026402718700253864,0.04341269183615957,-903.6951102562272,1014.8605477771589,-1797.6101730594885,34.57137412891045,0.16666666666666666,-18.073902205124543,6.0
5.0,1.0,3.0,527.6666666666666,25.681176674711185,0.9356396540041567,0.047361220058563094,-0.026659184041294904,0.038577122912603075,-1092.3941698301676,695.9874200935851,-2387.017592824635,39.93668577435333,0.0,-21.84788339660335,6.0
5.0,2.0,1.0,526.8333333333334,51.02730097271552,0.9435464922015383,0.06359909565452306,-0.022576049449008474,0.035165207093798466,-684.1799776066788,744.9539714882374,-1862.7577109522829,32.60798612194714,0.16666666666666666,-13.683599552133577,7.0
5.0,2.0,1.5,527.3333333333334,41.56250646156381,0.9731806090269052,0.029965966752157153,-0.005307762059748277,0.01958088401408527,-415.2531134957858,467.29680989044397,-1154.9283771693986,33.71696256294276,0.16666666666666666,-8.305062269915716,7.0
5.0,2.0,2.0,528.0,31.913821983891054,0.8536534962592719,0.058215568022060946,-0.08849245008968915,0.043868283080765166,-2050.35784506927,609.4825385165946,-3068.7990255994273,47.92262744597986,0.0,-41.0071569013854,7.0
5.0,2.0,3.0,527.6666666666666,28.206676237227967,1.0818169334259822,0.06367360463340072,0.08355212172511284,0.04353482994496863,1991.0202408291323,1621.3287485144497,124.28472040733863,39.69824207019058,1.0,39.820404816582645,7.0
5.0,4.0,1.0,529.1666666666666,51.432233877625016,0.9779900141324286,0.023354606305814884,-0.004856610389576955,0.013465918054639463,-312.53255445206656,330.88417333279284,-723.4665681609474,29.546054948615573,0.3333333333333333,-6.250651089041331,9.0
5.0,4.0,1.5,528.5,39.76792600686824,0.9187341402903074,0.042089608934184425,-0.03931689905557199,0.027560274077850173,-1147.1703132765044,545.2504168062923,-1939.5951288551973,36.55277828025419,0.0,-22.94340626553009,9.0
5.0,4.0,2.0,528.6666666666666,34.86877308760116,0.9971165676148152,0.04965948790337608,0.012703528488326834,0.03475518976791864,-6.258983705525263,878.6034767534721,-1286.0316721541428,33.89549377801827,0.5,-0.12517967411050504,9.0
5.0,4.0,3.0,526.3333333333334,27.0722649212366,1.0331416951676624,0.059913882588053885,0.048426759075204905,0.047602763274839956,809.0117398148233,1228.3763640066063,-1464.5590741076546,32.23932575699401,0.8333333333333334,16.180234796296467,9.0
5.0,6.0,1.0,528.1666666666666,51.37267930482178,0.9877444904109947,0.0485618115917457,-1.9002889815937393e-05,0.027216065368467577,-156.7088776693051,695.7014917709864,-1092.1475716564403,28.961661532491174,0.3333333333333333,-3.134177553386101,11.0
5.0,6.0,1.5,523.5,41.261704028119446,0.9869293262183109,0.05059130516963857,0.003329814213026611,0.030728238296264518,-159.71988505567282,768.0154170352067,-975.466880853745,26.280183437959735,0.5,-3.1943977011134557,11.0
5.0,6.0,2.0,525.6666666666666,37.00207510187641,1.1003019178193945,0.026563474941744637,0.08295634711922077,0.016050441915647896,2138.039925262137,597.3561015831657,1527.1383657070319,25.15789736096104,1.0,42.76079850524275,11.0
5.0,6.0,3.0,525.6666666666666,26.69851269205184,1.0241308116036545,0.06082096190990049,0.040273850562468086,0.048747030038988275,563.7547467910557,1298.3815927086987,-1510.892779996273,37.167435137034296,0.8333333333333334,11.275094935821114,11.0
5.0,10.0,1.0,525.6666666666666,49.68229585368521,0.9386308739260864,0.024908731831369286,-0.02679209684153926,0.015021294318730631,-821.9328121419709,332.0571333695177,-1245.1163890125088,30.63943275744664,0.0,-16.438656242839418,15.0
