i,dt,ref,up,dn,d_up,d_dn,nearer,near_dist,far_dist,first,p_up_baseline,went_nearer,p_near_base,bucket
183006,2023-09-26 09:00:00,1913.795,2000.0,1900.0,86.20499999999993,13.795000000000073,dn,13.795000000000073,86.20499999999993,dn,0.13795000000000074,True,0.8620499999999993,10-20
183098,2023-09-27 09:00:00,1900.415,2000.0,1900.0,99.58500000000004,0.4149999999999636,dn,0.4149999999999636,99.58500000000004,dn,0.004149999999999637,True,0.9958500000000003,0-10
184202,2023-10-13 09:00:00,1873.475,1900.0,1800.0,26.52500000000009,73.47499999999991,up,26.52500000000009,73.47499999999991,up,0.7347499999999991,True,0.7347499999999991,20-30
185122,2023-10-27 09:00:00,1987.525,2000.0,1900.0,12.474999999999909,87.52500000000009,up,12.474999999999909,87.52500000000009,up,0.8752500000000009,True,0.8752500000000009,10-20
185214,2023-10-30 09:00:00,2002.215,2100.0,2000.0,97.78500000000008,2.214999999999918,dn,2.214999999999918,97.78500000000008,dn,0.02214999999999918,True,0.9778500000000008,0-10
185306,2023-10-31 09:00:00,1993.935,2000.0,1900.0,6.065000000000055,93.93499999999995,up,6.065000000000055,93.93499999999995,up,0.9393499999999995,True,0.9393499999999995,0-10
185582,2023-11-03 09:00:00,1986.095,2000.0,1900.0,13.904999999999973,86.09500000000003,up,13.904999999999973,86.09500000000003,up,0.8609500000000003,True,0.8609500000000003,10-20
186682,2023-11-21 09:00:00,1991.515,2000.0,1900.0,8.4849999999999,91.5150000000001,up,8.4849999999999,91.5150000000001,up,0.915150000000001,True,0.915150000000001,0-10
186774,2023-11-22 09:00:00,1996.054,2000.0,1900.0,3.9459999999999127,96.05400000000009,up,3.9459999999999127,96.05400000000009,up,0.9605400000000008,True,0.9605400000000008,0-10
186944,2023-11-24 09:00:00,1992.275,2000.0,1900.0,7.724999999999909,92.27500000000009,up,7.724999999999909,92.27500000000009,up,0.922750000000001,True,0.922750000000001,0-10
187387,2023-12-01 09:00:00,2041.065,2100.0,2000.0,58.934999999999945,41.065000000000055,dn,41.065000000000055,58.934999999999945,up,0.41065000000000057,False,0.5893499999999994,40-50
187847,2023-12-08 09:00:00,2032.905,2100.0,2000.0,67.09500000000003,32.90499999999997,dn,32.90499999999997,67.09500000000003,dn,0.32904999999999973,True,0.6709500000000003,30-40
187939,2023-12-11 09:00:00,1999.595,2000.0,1900.0,0.4049999999999727,99.59500000000003,up,0.4049999999999727,99.59500000000003,up,0.9959500000000002,True,0.9959500000000002,0-10
188123,2023-12-13 09:00:00,1979.835,2000.0,1900.0,20.164999999999964,79.83500000000004,up,20.164999999999964,79.83500000000004,up,0.7983500000000003,True,0.7983500000000003,20-30
191977,2024-02-13 09:00:00,2017.475,2100.0,2000.0,82.52500000000009,17.47499999999991,dn,17.47499999999991,82.52500000000009,dn,0.1747499999999991,True,0.8252500000000009,10-20
192161,2024-02-15 09:00:00,1992.005,2000.0,1900.0,7.994999999999891,92.00500000000011,up,7.994999999999891,92.00500000000011,up,0.9200500000000011,True,0.9200500000000011,0-10
192253,2024-02-16 09:00:00,2004.275,2100.0,2000.0,95.72499999999991,4.275000000000091,dn,4.275000000000091,95.72499999999991,dn,0.04275000000000091,True,0.957249999999999,0-10
193255,2024-03-04 09:00:00,2080.885,2100.0,2000.0,19.11499999999978,80.88500000000022,up,19.11499999999978,80.88500000000022,up,0.8088500000000022,True,0.8088500000000022,10-20
