hour,min,trades,win_rate,pf,exp_r,exp_r_sd,net,worst_net,dd,pos_frac,ret_pct,t
11,30,177.66666666666666,30.95612638375536,1.2557965144399466,0.20509572972401033,0.04468469604709323,2001.8797690324864,1214.0811481419778,16.728504064218253,1.0,40.03759538064973,1.938833354996699
12,0,178.33333333333334,28.79130982632461,1.1296834609214814,0.11519945311192016,0.05193200850900266,982.7185724556265,-7.151957995190401,16.444673532377482,0.8333333333333334,19.65437144911253,1.0910573224810634
12,30,180.0,27.954098831126846,1.07754969207813,0.07682306317104833,0.04632841395753386,597.1639366858882,-17.07084680745112,16.02321325964447,0.8333333333333334,11.943278733717767,0.7309854957030836
13,0,186.83333333333334,29.526450763009905,1.1736056846697775,0.14910166708618627,0.04831022378212671,1426.165793259448,493.33604724613724,13.419315310763375,1.0,28.52331586518896,1.4454083781193807
13,30,182.5,30.410920006518236,1.221676438880178,0.18588663531070235,0.050803962333195,1830.51608613938,1019.0154534562637,14.304224111278893,1.0,36.610321722787596,1.7809859286503031
14,0,180.83333333333334,33.088003552091955,1.3703089702845948,0.28962883538629386,0.049601242257108415,3200.7864304059162,2132.0212868269978,10.160717383942254,1.0,64.01572860811832,2.7622433022390407
14,30,179.83333333333334,29.658014843865242,1.1818908703104443,0.15543017018186547,0.04659946920945966,1436.004505803886,997.1032242741685,15.226373820940225,1.0,28.72009011607773,1.478261638793315
15,0,179.0,32.11302465650291,1.291006922523426,0.24085021536434578,0.04640283866597087,2486.8721223370458,1680.6980630051044,10.48188731418987,1.0,49.737442446740914,2.2853590530334085
15,30,182.83333333333334,31.18634699808682,1.2867669170196219,0.21742008362717635,0.05643437126568037,2234.9677545019517,1442.0918090937998,10.18517196775434,1.0,44.699355090039035,2.0850104423538105
16,0,182.16666666666666,30.92449207025116,1.2659944714635023,0.19956331030999142,0.06216532260554727,2009.1801669549122,1249.0605658115887,12.299433143895158,1.0,40.18360333909825,1.9102756614305354
16,30,183.33333333333334,30.289034882162095,1.2216385050654293,0.17232942593319245,0.040737910925559916,1654.913606458177,890.0122110949033,14.093068738037589,1.0,33.098272129163526,1.6548591897519194
