hour,min,trades,win_rate,pf,pf_sd,exp_r,exp_r_sd,net,net_sd,worst_net,dd,pos_frac,ret_pct
9,30,1161.0,31.52691794719406,0.8178845781327189,0.019122521257062132,-0.11197742453158993,0.023774957054875936,-3844.7792169475324,332.4310939180422,-4125.948893673844,78.94926811440371,0.0,-76.89558433895064
10,0,1164.3333333333333,32.263818411213,0.8464332238570984,0.0413410830921112,-0.08987175162209642,0.017371229735889296,-3531.7357156487956,298.25086755101285,-3793.100395611863,73.77904070679489,0.0,-70.6347143129759
10,30,1170.6666666666667,32.290956784611126,0.8539725478764556,0.02326307330945063,-0.08934982710001989,0.022264615554624934,-3520.665667906091,404.37127253293556,-3843.0413132898684,72.22074683412285,0.0,-70.41331335812184
11,0,1162.6666666666667,32.82638403446695,0.8783440386986449,0.029595926137771605,-0.07299410831012164,0.018162121048725152,-3214.5183606414807,351.0219370704487,-3619.3765342776355,71.02840350872253,0.0,-64.2903672128296
11,30,1172.3333333333333,32.55690274856477,0.8556227530679167,0.04075927726623708,-0.08133100455028178,0.026513977623956856,-3371.607632652411,495.4238220173946,-3842.6148515673854,74.07362028613089,0.0,-67.43215265304822
12,0,1162.6666666666667,32.252359250712594,0.8521223758655632,0.02137648917060098,-0.09074372750248759,0.014537547455422037,-3556.2367361360352,245.44156586275278,-3698.865455866273,72.90612210067205,0.0,-71.1247347227207
12,30,1170.0,32.2229383695587,0.8482030363376988,0.025762839158321064,-0.09112996197389962,0.020740362786543676,-3564.3819203478474,361.41134415969464,-3845.8558305020315,73.9748437403102,0.0,-71.28763840695694
13,0,1163.3333333333333,33.23765515751453,0.888269507066204,0.01735766076425008,-0.060905703843066435,0.014105993251578582,-2959.940894007969,340.01669725030655,-3288.017251084586,67.14261891656889,0.0,-59.19881788015939
13,30,1158.6666666666667,32.76979236993859,0.8823586016810075,0.02530334462486833,-0.07469024946065093,0.02060288574572106,-3238.8308433488733,405.8309392874504,-3675.1071423948924,69.58771284157888,0.0,-64.77661686697746
14,0,1156.0,32.81559445064152,0.8616064421403807,0.02129720606496603,-0.0735656391902974,0.01620495302089265,-3228.335991855951,324.6947011621085,-3577.333605292927,72.42673111005209,0.0,-64.56671983711901
14,30,1149.3333333333333,32.33694251142339,0.8492983743764059,0.03138624026880212,-0.08772693602347374,0.018405402908385878,-3478.60482849098,326.55421591612173,-3739.1207708440443,73.12006677560949,0.0,-69.5720965698196
15,0,1146.0,32.37290969899666,0.843554174151111,0.0170838679643865,-0.08659155702888445,0.012430907115730881,-3466.437175091816,201.8780055401236,-3694.412410839016,73.05148000560744,0.0,-69.32874350183631
15,30,1133.6666666666667,31.75400928480664,0.8288851547628381,0.02961928443082966,-0.10515341093837317,0.012573998293187187,-3737.964460958266,177.16965142988502,-3876.046255190784,76.84530375840419,0.0,-74.7592892191653
16,0,1152.3333333333333,32.306576294984986,0.8458864651852029,0.060684984311718884,-0.08858415625049672,0.04053455242784893,-3415.187860906844,712.130658009665,-4055.2678223487455,73.26588048646711,0.0,-68.30375721813688
16,30,1148.0,31.18311330945698,0.8036632942836865,0.012038633757017705,-0.1235680721382086,0.009283479664212408,-3999.433533441548,94.74532863471963,-4074.3217999194358,82.47104848598443,0.0,-79.98867066883096
17,0,1155.0,31.629948579834224,0.8444490389999988,0.023910337615248536,-0.10977664518567394,0.025649613164369596,-3808.7952716615414,330.2726901090494,-4158.212711666632,78.36575735943437,0.0,-76.17590543323082
17,30,1147.3333333333333,31.2613901529303,0.815264565320922,0.04450236594347662,-0.12058223568732718,0.02581430429059978,-3937.5798682121035,328.38419680063436,-4196.4385857012185,79.31120588133449,0.0,-78.75159736424207
18,0,1180.6666666666667,32.497116970233456,0.8654865567936884,0.010989780603748034,-0.08361733776862686,0.014843991901209918,-3464.952861054456,283.19315023334514,-3697.737653769676,70.38999033890902,0.0,-69.29905722108911
18,30,1166.0,32.70048544254425,0.865474611625205,0.044990392019569454,-0.0768854760534349,0.030267846937795804,-3268.732756138477,568.608174039574,-3839.8677068012007,71.02893441583862,0.0,-65.37465512276952
19,0,1182.0,32.74314971969091,0.8816593654440696,0.028252291880914288,-0.07585494482151106,0.01727219966360851,-3312.394022949526,341.614988338453,-3658.8928969721987,72.94411164122495,0.0,-66.24788045899054
19,30,1194.0,31.12593300457107,0.8066465043748773,0.0248792131686853,-0.12549070266813148,0.010610560520288291,-4081.4076520208487,103.23513377051714,-4157.655411487827,82.7921839698822,0.0,-81.62815304041698
20,0,1165.6666666666667,31.799078710233385,0.8300150486449193,0.03253898943814881,-0.10476477425394866,0.014218569037382028,-3778.505255129412,202.55822209604398,-3960.311713921376,78.57651392372463,0.0,-75.57010510258824
20,30,1172.3333333333333,31.6204971021385,0.8384662872448573,0.03291441624152213,-0.10949899791918018,0.020652047027605716,-3837.503510415337,283.56792292909313,-4120.659481838771,78.18728162228625,0.0,-76.75007020830674
21,0,1156.0,31.690688725572446,0.8422218738420293,0.012103175543064563,-0.10720644961390015,0.011070309283678642,-3802.141640261558,152.50581152663096,-3976.857153544179,77.26494175411636,0.0,-76.04283280523117
21,30,1172.3333333333333,31.59428277791712,0.82167851732014,0.05805155915842133,-0.1108883889729206,0.039664687136258085,-3796.772511446104,535.6886164239651,-4315.618930960541,78.20571830633925,0.0,-75.93545022892208
22,0,1161.6666666666667,31.59076857154857,0.8170643196186141,0.02275048052453239,-0.11146598824954361,0.011254775223328777,-3866.0322617822335,138.1012693040986,-3970.1084506054563,78.52327031021355,0.0,-77.32064523564468
22,30,1158.0,31.462363027647807,0.828369807488578,0.04476964343633774,-0.11488000619607393,0.03566955514749401,-3851.531112856475,470.62723291959475,-4271.243487276307,78.21376646483539,0.0,-77.0306222571295
23,0,1156.3333333333333,31.623845904103074,0.831095722455233,0.02258625685388466,-0.10981903973621478,0.01661851578606069,-3825.2344513369735,234.40801041140935,-4020.7163726338813,76.79352798925073,0.0,-76.50468902673947
23,30,1162.3333333333333,31.001039826020076,0.7827565851460108,0.029217916298463716,-0.1293380200740696,0.008322457599508759,-4082.1819433482583,87.78755927933125,-4172.424463637207,81.84557830995078,0.0,-81.64363886696516
